date,TM_observe,TM_pred_SARIMA,CI_low,CI_high
2021-10-01,12.781050307219662,5.6778650494976235,2.867472110149577,8.488257988845671
2021-11-01,8.034133658008658,5.872758023219539,1.5435258667648606,10.201990179674219
2021-12-01,5.4045276497695856,6.119599671507201,0.7467132927551905,11.492486050259211
2022-01-01,4.386891321044547,6.487957828120141,0.29741201158884234,12.678503644651439
2022-02-01,7.333231292517008,6.867160145918303,0.00046326357671766516,13.733857028259889
2022-03-01,8.120209293394776,7.060161244238947,-0.382647204045365,14.502969692523259
2022-04-01,11.178795634920634,7.042500992698664,-0.9006223291929887,14.985624314590318
2022-05-01,17.519174347158216,7.098302570242138,-1.285081459907886,15.481686600392162
2022-06-01,22.699962301587302,7.304839365257826,-1.4697221967820768,16.07940092729773
2022-07-01,25.01014976958525,7.540235733262028,-1.5844635704725505,16.664935036996606
2022-08-01,23.513200844854072,7.74792497472922,-1.692001627002253,17.187851576460695
2022-09-01,18.04573015873016,8.016949571370304,-1.70810357790762,17.74200272064823
2022-10-01,16.345160010240654,8.239308245729754,-1.7513685425606358,18.229985034020146
2022-11-01,9.690172398589066,8.34804339475078,-1.8857536277196374,18.581840417221198
2022-12-01,6.757484639016897,8.511533894576289,-1.9441768607695966,18.967244649922172
2023-01-01,4.790842507253798,8.799229114380223,-1.8595256807464136,19.457983909506858
2023-02-01,5.743929280045351,9.100544472884854,-1.7443734633726002,19.94546240914231
2023-03-01,9.550195852534562,9.218509188841296,-1.7974007257828397,20.23441910346543
2023-04-01,11.585605158730159,9.128422366323399,-2.044790980909397,20.301635713556195
2023-05-01,15.316111751152073,9.114070598508444,-2.204052986456121,20.43219418347301
2023-06-01,20.304738095238097,9.252888406834712,-2.1988911942756406,20.704668007945067
2023-07-01,23.99416838815615,9.422682697835317,-2.152504944479146,20.99787034014978
2023-08-01,23.034738430368296,9.566993369055503,-2.1222517402175463,21.25623847832855
2023-09-01,19.720819312871036,9.774542050377926,-2.020209791047746,21.569293891803596
2023-10-01,16.185135320278537,9.937651221099001,-1.9585507882177104,21.833853230415713
2023-11-01,8.795716517199276,9.989174979576008,-2.0017346478681066,21.980084607020125
2023-12-01,6.71841593426966,10.0973813353027,-1.9812922064407612,22.176054877046163
